ocreval Accuracy Report Version 7.0
-----------------------------------
   38654   Characters
    1888   Errors
   95.12%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   95.12%  Accuracy After Correction

     Ins    Subst      Del   Errors
       3        0   {١٩٥}-{٧ ٤}
       3        0   {٢١}-{<200E>٥٤}
       3        0   {٢٩}-{<200E>٥٤}
       3        0   {٣ .}-{٢و<200E>}
       3        0   {٣ ب}-{ي}
       3        0   {٣}-{.}
       3        0   {٣}-{١٩٦}
       3        0   {٤}-{<200E>٥٩}
       3        0   {٥٠}-{١٧<200F>}
       3        0   {٥٤}-{٢٩<200F>}
       3        0   {٥٧}-{٢٤<200F>}
       3        0   {٦}-{٣٠<200F>}
       3        0   {٦٢}-{٢٨<200F>}
       3        0   {٨٤٤}-{٩١٦}
       3        0   {٩ ص}-{٢ص<200F>}
       3        0   {٩٥ }-{..}
       3        0   {٩٦٤}-{٠٨}
       3        0   {٩٦٤}-{٢١}
       3        0   {٩٦٤}-{٧٣}
       2        0   { .}-{}
       2        0   { :}-{<200E>}
       2        0   { ع}-{}
       2        0   { ٠}-{٢}
       2        0   { ١}-{١<200F>}
       2        0   { ٧}-{٧<200F>}
       2        0   { ٨}-{٨<200F>}
       2        0   {. }-{<200E>٥}
       2        0   {: }-{<200E>}
       2        0   {: }-{<200E>٢}
       2        0   {}-{ .}
       2        0   {}-{.}
       2        0   {}-{<200E>/}
       2        0   {}-{<200E>١}
       2        0   {}-{<200E>٢}
       2        0   {}-{<200E>٥}
       2        0   {}-{<200E>٦}
       2        0   {}-{ب}
       2        0   {}-{ج}
       2        0   {}-{ز}
       2        0   {}-{ط}
       2        0   {}-{ع}
       2        0   {}-{٠<200F>}
       2        0   {}-{١<200F>}
       2        0   {}-{٩}
       2        0   {}-{ی}
       2        0   {}-{یي}
       2        0   {أ}-{كا}
       2        0   {ؤ}-{وو}
       2        0   {ئ}-{}
       2        0   {ئ}-{لم}
       2        0   {ئ}-{ن}
       2        0   {ا}-{أ}
       2        0   {ا◌ً}-{أأ}
       2        0   {ب}-{يك}
       2        0   {بي}-{ف}
       2        0   {ة }-{}
       2        0   {تـ}-{م}
       2        0   {تى}-{ق}
       2        0   {ث}-{ ن}
       2        0   {ح}-{ج}
       2        0   {خ}-{ح}
       2        0   {د }-{و}
       2        0   {دل}-{مح}
       2        0   {ر }-{}
       2        0   {ر}-{}
       2        0   {ر}-{ز}
       2        0   {ز}-{}
       2        0   {س<200C>}-{ر}
       2        0   {س}-{}
       2        0   {سـ}-{م}
       2        0   {ص}-{..}
       2        0   {ص}-{١٠}
       2        0   {عـ}-{ح}
       2        0   {ـ}-{ <200E>}
       2        0   {ـ}-{-}
       2        0   {ـ}-{ب}
       2        0   {ـ}-{م }
       2        0   {ـا}-{ا }
       2        0   {ـذ}-{ن}
       2        0   {ف}-{}
       2        0   {ق}-{}
       2        0   {ك}-{اث}
       2        0   {كم}-{ح}
       2        0   {لح}-{ب}
       2        0   {م }-{ه}
       2        0   {م}-{ه}
       2        0   {مج}-{بح}
       2        0   {نا}-{اذ}
       2        0   {نح}-{س}
       2        0   {نى}-{تي}
       2        0   {هـ}-{ھ}
       2        0   {ى}-{}
       2        0   {ي}-{نب}
       2        0   {يح}-{بج}
       2        0   {٠}-{ ٢}
       2        0   {١}-{<200E>٤}
       2        0   {١}-{<200F>}
       2        0   {١}-{٤٢}
       2        0   {١١}-{٥٢}
       2        0   {١٩}-{<200E>}
