ocreval Word Accuracy Report Version 7.0
----------------------------------------
    6487   Words
    2953   Misrecognized
   54.48%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
       1        0   100.00   اطلعت
       2        1    50.00   اطلق
       1        0   100.00   اظنني
       1        0   100.00   اعتراف
       1        1     0.00   اعتماد
       1        1     0.00   اعداد
       1        0   100.00   اعدادا
       1        1     0.00   اعدلاً
       1        1     0.00   اعده
       1        0   100.00   اعضاء
       1        1     0.00   اعطي
       1        1     0.00   اعلم
       2        2     0.00   اعلنت
       1        1     0.00   اعمال
       1        1     0.00   اعماله
       1        1     0.00   اعمالها
       1        0   100.00   اعني
       1        1     0.00   اعيد
       1        1     0.00   اغاثـة
       1        1     0.00   اغراض
       1        1     0.00   اغفر
       1        0   100.00   افتتح
       1        0   100.00   افراد
       1        1     0.00   افروديت
       1        1     0.00   افريقيا
       1        0   100.00   افضل
       1        0   100.00   اقام
       1        0   100.00   اقامة
       1        1     0.00   اقامته
       1        1     0.00   اقتراح
       1        1     0.00   اقترحت
       1        0   100.00   اقتصاديا
       1        0   100.00   اقتصار
       1        0   100.00   اقدم
       1        1     0.00   اقدما
       1        0   100.00   اقرب
       1        0   100.00   اقرت
       1        1     0.00   اقصر
       1        1     0.00   اقصى
       1        0   100.00   اقطار
       2        0   100.00   اقل
       1        0   100.00   اقليمية
       2        1    50.00   اقوى
       1        0   100.00   اقوياء
       1        0   100.00   اكتساب
       2        1    50.00   اكثر
       1        1     0.00   اكفر
       1        0   100.00   الآثار
       1        0   100.00   الآخر
       1        0   100.00   الآخرة
       1        0   100.00   الآخرين
       1        0   100.00   الآفاق
       1        1     0.00   الآن
       2        2     0.00   الأبحاث
       1        1     0.00   الأخطاء
       1        0   100.00   الأخيرة
       1        1     0.00   الأدب
       1        0   100.00   الأرقام
       1        0   100.00   الأسطول
       1        1     0.00   الأسماك
       1        1     0.00   الأشياء
       2        0   100.00   الأعمال
       1        0   100.00   الأقاويل
       1        0   100.00   الأقحواني
       1        1     0.00   الأكبر
       1        1     0.00   الأم
       1        0   100.00   الأمثال
       1        0   100.00   الأمد
       2        0   100.00   الأمور
       1        1     0.00   الأمية
       1        1     0.00   الأميركية
       1        0   100.00   الأندلسي
       1        0   100.00   الأهداف
       1        0   100.00   الأوسط
       1        0   100.00   الأول
       1        0   100.00   الأيوبي
       1        0   100.00   الإدارة
       1        0   100.00   الإداري
       2        0   100.00   الإدارية
       1        0   100.00   الإسلامي
       1        1     0.00   الإصلاح
       2        0   100.00   الإعلام
       1        0   100.00   الإقتار
       7        1    85.71   الا
       1        1     0.00   الائتمان
       1        1     0.00   الابتدائية
       1        1     0.00   الابحاث
       1        0   100.00   الابقاء
       1        1     0.00   الابنية
       1        1     0.00   الابيض
       1        1     0.00   الاتجاه
       4        3    25.00   الاتحاد
       3        0   100.00   الاتراك
       1        0   100.00   الاتفاق
       1        1     0.00   الاتفاقية
       1        0   100.00   الاتقاء
       1        0   100.00   الاثارة
       1        0   100.00   الاجادة
       1        1     0.00   الاجانب
       1        1     0.00   الاجبسيانة
       1        1     0.00   الاجتماع
       1        1     0.00   الاجتماعات
       3        3     0.00   الاجتماعي
       4        4     0.00   الاجتماعية
       1        0   100.00   الاجر
       1        0   100.00   الاجرام
       1        1     0.00   الاجمال
       2        1    50.00   الاجنبية
       1        0   100.00   الاحداث
       1        1     0.00   الاحزاب
       1        1     0.00   الاحصائي
       1        0   100.00   الاحصائية
       1        0   100.00   الاحكام
       1        0   100.00   الاحور
       1        1     0.00   الاختصـاصيين
       1        0   100.00   الاختلاف
       1        1     0.00   الاختيار
       1        0   100.00   الاخر
       4        0   100.00   الاخرى
       1        0   100.00   الاخلاقي
       1        1     0.00   الاخلاقية
       2        2     0.00   الاخيرة
       4        0   100.00   الادارة
       1        0   100.00   الادارية
       1        0   100.00   الادبي
